SQ1,SQ2,SQ3,SQ5,SQ7,SQ8,Q2_7,Q2_8,Q2_9,Q2_10,Q4_1,Q5_2,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q12_2,Q14_2,Q17,Q18,Q19,Q20,Q22,Q23,Q28,Q29,Q30,Q31,Q38,Q39,Q41
2,22,46,7,8,1,5,7,9,8,2,13,7,7,4,4,10,5,6,6,12,10,1,3,1,3,2,1,8,2,2,1,3,2
2,39,4,7,8,1,8,8,9,9,2,9,9,9,9,9,9,9,9,9,24,30,1,5,2,2,2,1,8,6,2,1,3,4
1,65,34,8,8,2,6,7,6,6,2,7,7,6,6,6,6,7,6,18,2,40,1,10,1,1,3,1,2,2,1,6,8,7
2,35,25,7,27,1,8,8,8,8,2,10,9,8,8,8,8,8,8,18,28,180,4,3,1,1,2,1,28,,3,2,7,5
1,60,23,7,8,2,8,8,8,8,2,7,8,8,8,8,8,8,8,18,28,3,1,3,2,1,2,1,8,2,3,1,2,5
2,50,13,7,25,1,7,7,7,7,2,16,8,9,3,8,7,9,8,2,8,45,1,10,6,1,1,1,8,6,1,1,3,14
1,38,11,7,24,1,5,5,5,5,3,9,5,5,5,5,5,5,5,18,2,7,2,3,2,1,3,1,2,3,1,1,3,6
1,37,13,7,25,1,5,7,7,6,2,8,5,6,6,7,5,7,6,4,8,30,1,5,1,2,2,5,,,3,1,8,14
2,25,40,7,8,1,8,7,10,8,2,2,8,8,8,8,7,9,6,11,28,10,7,2,2,1,2,2,,,1,1,3,14
1,37,8,7,8,1,6,6,8,7,2,13,8,8,6,8,6,7,7,14,12,20,1,5,3,1,2,1,2,6,2,1,4,5
1,31,31,7,14,1,6,6,6,6,2,13,5,5,5,5,5,5,5,18,1,15,1,2,3,1,2,1,1,6,3,1,5,2
2,37,13,7,8,1,5,3,3,3,2,18,7,5,5,5,5,7,7,18,25,50,2,2,4,2,2,1,8,1,2,1,3,5
2,32,27,7,27,2,7,7,6,6,2,11,7,7,8,8,7,7,9,18,28,60,4,3,1,2,2,1,28,,2,6,3,8
1,46,27,7,8,1,8,9,9,9,2,10,9,9,7,8,8,9,9,6,2,30,2,5,1,1,1,1,2,6,4,1,9,3
2,29,13,7,8,1,5,5,5,5,2,11,5,5,5,5,5,5,5,18,28,30,3,5,1,1,2,1,8,1,3,2,7,7
1,45,38,7,24,1,7,6,6,6,2,13,7,7,5,7,7,7,7,18,28,30,1,3,1,3,2,11,,,2,1,3,7
2,45,23,7,27,1,7,7,7,7,2,13,7,6,6,7,7,7,7,4,27,7,4,10,1,1,2,2,,,3,5,3,4
1,43,24,7,8,2,7,8,8,7,2,2,8,7,7,7,8,7,7,18,28,60,5,10,1,1,1,1,8,3,1,1,3,5
1,41,12,7,8,1,4,6,6,6,2,10,6,5,4,6,5,6,5,18,28,30,2,3,2,1,2,1,8,6,1,1,2,14
1,53,13,7,24,1,5,3,8,6,3,8,8,8,3,8,6,7,9,18,8,30,1,10,6,6,1,1,28,,2,3,6,4
2,28,15,7,8,1,5,5,5,5,3,18,6,5,5,5,5,5,5,18,28,60,2,2,2,1,2,1,28,,1,2,7,4
2,41,27,7,8,1,5,5,5,5,3,8,5,5,5,5,5,5,5,1,28,60,4,3,2,2,2,1,28,,2,6,7,14
